,gender,age,sign
2059027,male,15,Leo
3581210,male,33,Aquarius
3539003,female,14,Aries
4172416,female,25,Capricorn
3668238,female,17,Gemini
4030905,female,17,Aries
4198080,female,23,Aquarius
3705830,male,25,Cancer
3649763,female,33,Aquarius
3389918,female,37,Aquarius
4304458,female,25,Sagittarius
3429420,male,15,Aquarius
3389671,male,26,Leo
649790,female,24,Scorpio
3022585,female,27,Aquarius
3808902,female,45,Sagittarius
3176655,male,24,Libra
3667495,male,15,Libra
3486574,female,15,Gemini
4275555,female,34,Scorpio
1240631,male,41,Libra
3711014,male,24,Cancer
3168577,male,23,Sagittarius
1550279,male,17,Sagittarius
1916038,female,14,Cancer
3568056,male,17,Capricorn
3359005,male,14,Scorpio
2012853,female,23,Libra
4291530,female,23,Virgo
4313749,female,25,Taurus
3827097,female,15,Pisces
3369668,male,44,Taurus
3960753,female,15,Cancer
3644456,male,23,Taurus
1415200,female,15,Libra
3868966,female,27,Gemini
3544864,female,33,Sagittarius
1932521,female,16,Taurus
1238294,female,33,Leo
2435706,male,16,Gemini
3309662,male,25,Aries
3785178,male,17,Virgo
4036952,male,26,Leo
4269654,female,26,Aquarius
2559416,female,15,Aquarius
3931473,female,26,Sagittarius
3647746,male,39,Virgo
3518852,female,15,Aries
3413825,female,25,Taurus
4036299,male,23,Sagittarius
4118479,female,24,Libra
3573986,female,14,Leo
589736,male,35,Aries
3367100,male,39,Libra
3698079,female,14,Aquarius
3297343,female,23,Sagittarius
3835942,male,25,Taurus
3483063,female,16,Sagittarius
3887270,female,17,Leo
4179573,female,15,Cancer
4116577,female,36,Gemini
3821963,female,15,Leo
3543234,male,14,Scorpio
3670806,male,14,Pisces
1330888,female,36,Pisces
3842905,female,24,Aries
3384037,female,17,Scorpio
4158617,female,35,Gemini
3936869,female,23,Aries
1357293,female,25,Aries
3316021,male,25,Aries
3536864,male,14,Leo
4063217,female,33,Leo
3912317,female,16,Leo
4309190,male,46,Gemini
467705,female,25,Libra
4187211,female,23,Taurus
3356291,male,24,Leo
766556,female,34,Sagittarius
2181683,male,15,Cancer
4275715,female,34,Virgo
3538434,female,25,Leo
4286349,male,25,Capricorn
3466141,male,15,Sagittarius
4262796,male,17,Aquarius
3373204,male,25,Aries
4222160,male,25,Aries
4013263,female,23,Aquarius
3395106,female,14,Cancer
3839094,female,16,Libra
4321554,male,33,Sagittarius
4071938,male,16,Sagittarius
1077954,male,26,Gemini
4082066,female,42,Leo
4276611,female,26,Libra
4143737,female,14,Capricorn
3566850,female,24,Capricorn
1233335,male,25,Sagittarius
1103575,female,17,Scorpio
3722833,male,15,Libra
3382251,male,26,Sagittarius
2821801,female,27,Taurus
4181494,male,23,Cancer
3837231,female,13,Libra
4228369,female,24,Aries
3839759,female,16,Capricorn
3416559,female,36,Aries
3305309,male,35,Scorpio
3706985,male,16,Cancer
1708471,female,17,Cancer
3998465,male,17,Gemini
4216005,male,23,Taurus
3765885,female,24,Leo
4226535,male,42,Aries
4023160,female,15,Aquarius
3817025,female,26,Aquarius
4192943,male,15,Taurus
883178,male,36,Aries
559410,female,38,Sagittarius
4174812,male,23,Aries
2635745,female,15,Pisces
4305651,male,24,Gemini
4088616,female,43,Aries
4175778,female,24,Aries
4108942,male,17,Sagittarius
3502320,female,41,Gemini
3543191,male,14,Libra
4166613,male,17,Libra
3370336,female,23,Scorpio
4160371,female,17,Scorpio
3907370,male,26,Leo
3468570,male,17,Cancer
4187809,female,25,Pisces
3883829,female,35,Scorpio
3545557,female,16,Sagittarius
4286351,male,16,Gemini
3412421,male,23,Sagittarius
4000416,male,26,Scorpio
3050485,male,27,Aries
3696098,female,17,Aries
3294430,male,26,Libra
3724380,female,27,Pisces
3885979,female,13,Aquarius
3345412,male,16,Leo
3511107,female,23,Aries
3894385,male,16,Taurus
3601456,female,26,Pisces
3972364,female,23,Aquarius
3869393,female,25,Sagittarius
711096,male,24,Libra
3502235,male,15,Taurus
3688178,female,40,Aquarius
3717124,male,15,Taurus
3034755,male,23,Aquarius
1317518,female,23,Leo
3941452,female,14,Taurus
4076315,female,23,Cancer
3358564,female,34,Scorpio
3337329,female,26,Libra
3765420,female,16,Cancer
4162814,male,14,Cancer
3525620,male,33,Gemini
3627104,female,16,Taurus
3911396,male,16,Gemini
3572471,male,25,Pisces
3176411,male,33,Aries
3754841,female,13,Sagittarius
2271105,male,17,Capricorn
3567093,male,25,Libra
4192173,male,27,Pisces
1463590,female,24,Capricorn
2948997,female,17,Sagittarius
4256671,male,15,Virgo
3681917,male,15,Leo
3413775,male,17,Scorpio
4213302,female,16,Cancer
3477296,male,15,Virgo
2581876,female,24,Sagittarius
3857088,male,37,Aquarius
3749504,female,17,Pisces
3841325,male,36,Taurus
3877002,female,25,Pisces
3928610,male,23,Virgo
3981555,male,17,Capricorn
4119859,female,14,Cancer
2102033,male,16,Cancer
3922351,male,26,Scorpio
3869898,female,17,Capricorn
4201848,male,45,Aquarius
2844168,female,27,Aquarius
3545726,female,16,Aquarius
3433630,male,25,Pisces
3806681,male,24,Sagittarius
3583915,male,37,Sagittarius
4251420,male,16,Pisces
2284644,male,26,Scorpio
936098,male,17,Gemini
3059476,female,17,Leo
3833251,male,14,Virgo
4121120,male,17,Sagittarius
4204026,male,27,Scorpio
3828055,male,16,Scorpio
4157968,male,16,Pisces
3694096,female,23,Leo
3976976,female,17,Taurus
3291253,male,27,Virgo
3734462,female,23,Aries
3485026,male,23,Aries
3552576,male,26,Libra
3357167,male,24,Aquarius
4276559,female,15,Virgo
3932072,female,16,Capricorn
4227384,female,33,Aries
1705136,female,25,Pisces
3314576,female,25,Taurus
3759257,female,17,Aquarius
1393814,female,13,Gemini
3756895,male,16,Virgo
4019147,female,23,Cancer
4311822,female,35,Aquarius
3320151,male,16,Capricorn
3857692,male,33,Leo
4062379,female,27,Aquarius
3970640,female,39,Taurus
4245017,female,33,Cancer
3876012,male,27,Cancer
3414204,male,35,Capricorn
1429060,male,17,Cancer
3463044,female,37,Pisces
3579048,male,14,Sagittarius
3535782,male,25,Capricorn
3712719,female,23,Scorpio
3377005,male,26,Sagittarius
491348,female,17,Gemini
3361107,male,35,Virgo
3842156,female,26,Scorpio
3418356,male,23,Scorpio
1130595,male,16,Sagittarius
3702123,male,26,Cancer
1209241,male,25,Virgo
3544723,female,25,Sagittarius
4052856,male,17,Sagittarius
873288,female,23,Capricorn
4177637,male,16,Capricorn
3930078,female,23,Cancer
4004267,male,33,Taurus
3205298,male,39,Aquarius
1781897,male,27,Virgo
23191,female,23,Taurus
1472026,female,47,Sagittarius
2061087,female,33,Cancer
2462841,male,17,Cancer
3626815,male,17,Cancer
4124979,male,41,Gemini
3849970,female,33,Taurus
3350684,male,15,Capricorn
3204689,male,23,Aquarius
4139321,male,26,Pisces
4216565,female,34,Cancer
3080267,male,23,Capricorn
4091350,male,26,Pisces
2697034,female,23,Cancer
4282867,female,27,Capricorn
4009346,male,24,Taurus
4120089,female,36,Capricorn
3933663,female,27,Scorpio
870843,male,17,Sagittarius
2944118,male,17,Gemini
4284657,male,14,Aquarius
3645035,male,15,Virgo
2086819,female,15,Gemini
3668449,female,24,Aquarius
4092173,male,25,Aries
3354122,female,16,Cancer
4321739,male,16,Virgo
2947268,male,25,Cancer
1926378,female,24,Aries
3074758,male,17,Gemini
3608093,male,25,Libra
3606330,male,23,Aquarius
3842922,female,15,Scorpio
2898040,female,23,Taurus
3822314,male,27,Libra
3034814,female,24,Sagittarius
3290020,male,23,Leo
3717362,male,33,Sagittarius
3343504,male,16,Libra
1103084,male,34,Pisces
3472003,female,23,Virgo
4100253,female,14,Taurus
2908515,male,17,Capricorn
